source,T_MeV,sigma_GeV3,free_energy,residual_norm
bk_s_curve,65.84546303293224,0.0967120400842359,-0.11287350661185973,7.559775028198601e-11
bk_s_curve,65.8536344323552,0.09671182191298301,-0.11287191643561395,2.692179812413542e-11
bk_s_curve,65.86180961956273,0.09671160354591403,-0.11287032239115677,6.47223941108166e-11
bk_s_curve,65.8699885975866,0.09671138498277959,-0.11286872446999849,2.5876079057240986e-11
bk_s_curve,65.87817136946174,0.09671116622333117,-0.11286712266363097,4.011957432936697e-12
bk_s_curve,65.88635793822675,0.09671094726731805,-0.11286551696352612,1.155561202281774e-10
bk_s_curve,65.89454830692326,0.0967107281144886,-0.11286390736113948,6.74528766175797e-11
bk_s_curve,65.9027424785971,0.09671050876459532,-0.11286229384791281,5.960498761226063e-11
bk_s_curve,65.91094045629676,0.09671028921738391,-0.11286067641526536,3.0277780282972344e-11
bk_s_curve,65.9191422430748,0.09671006947260541,-0.11285905505460686,9.469591777389041e-12
bk_s_curve,65.92734784198669,0.09670984953000501,-0.11285742975731843,3.602451670303708e-11
bk_s_curve,65.93555725609205,0.09670962938933349,-0.11285580051477508,4.308536860619938e-11
bk_s_curve,65.94377048845341,0.09670940905033566,-0.11285416731833046,1.9121482175421534e-11
bk_s_curve,65.95198754213722,0.09670918851276038,-0.11285253015931944,2.840061519293613e-12
bk_s_curve,65.9602084202129,0.09670896777635209,-0.11285088902906319,5.884098763786483e-11
bk_s_curve,65.96843312575402,0.09670874684085749,-0.11284924391885896,1.0943790318407309e-10
bk_s_curve,65.97666166183707,0.09670852570602285,-0.11284759481999515,4.298944533687177e-11
bk_s_curve,65.98489403154211,0.09670830437159122,-0.11284594172373516,4.917954932182056e-12
bk_s_curve,65.9931302379533,0.09670808283730983,-0.11284428462133311,2.166955503923873e-11
bk_s_curve,66.00137028415772,0.09670786110292282,-0.11284262350401554,4.830652544640657e-11
bk_s_curve,66.0096141732462,0.0967076391681721,-0.11284095836300255,3.6893266219806264e-12
bk_s_curve,66.01786190831285,0.09670741703280275,-0.11283928918948424,4.2119419063624264e-11
bk_s_curve,66.02611349245585,0.09670719469655854,-0.11283761597464699,5.920708368023497e-11
bk_s_curve,66.03436892877642,0.09670697215917995,-0.11283593870965052,4.502620498669785e-11
bk_s_curve,66.04262822037946,0.09670674942041063,-0.11283425738563661,8.133460571713158e-11
bk_s_curve,66.05089137037353,0.09670652647999231,-0.11283257199373485,3.616673627249156e-11
bk_s_curve,66.0591583818705,0.09670630333766599,-0.11283088252505269,7.356382170087272e-11
bk_s_curve,66.0674292579864,0.09670607999317435,-0.11282918897068393,4.352079807645737e-11
bk_s_curve,66.07570400183987,0.09670585644625447,-0.11282749132170032,3.561806405372181e-11
bk_s_curve,66.08398261655391,0.0967056326966495,-0.11282578956915695,5.581751727490314e-11
bk_s_curve,66.09226510525473,0.09670540874409808,-0.11282408370409532,1.142108629892391e-11
bk_s_curve,66.10055147107227,0.09670518458833953,-0.11282237371753243,9.0873419900106e-12
bk_s_curve,66.10884171714005,0.09670496022911267,-0.11282065960047294,2.306582702615856e-11
bk_s_curve,66.11713584659525,0.0967047356661571,-0.11281894134389991,2.5286439608862565e-12
bk_s_curve,66.12543386257813,0.09670451089920887,-0.11281721893878383,8.06814615117446e-11
bk_s_curve,66.13373576823348,0.09670428592800691,-0.11281549237607101,9.510392473544016e-12
bk_s_curve,66.14204156670863,0.0967040607522872,-0.11281376164669052,6.361383642072838e-11
bk_s_curve,66.15035126115562,0.09670383537178841,-0.11281202674155942,4.799322050885735e-11
bk_s_curve,66.15866485472918,0.09670360978624497,-0.11281028765157204,2.770506046800847e-11
bk_s_curve,66.16698235058806,0.09670338399539358,-0.1128085443676017,5.5845217339367537e-11
bk_s_curve,66.17530375189472,0.09670315799896893,-0.11280679688051115,1.84020021443132e-11
bk_s_curve,66.18362906181532,0.09670293179670747,-0.11280504518113957,8.958150887750094e-11
bk_s_curve,66.19195828351945,0.09670270538834379,-0.11280328926031205,1.1001199951010676e-12
bk_s_curve,66.20029142018002,0.0967024787736105,-0.11280152910882875,1.6229073640516845e-11
bk_s_curve,66.20862847497408,0.0967022519522416,-0.11279976471747911,7.336481422370866e-11
bk_s_curve,66.21696945108246,0.0967020249239702,-0.11279799607703225,1.1014023026945097e-11
bk_s_curve,66.22531435168949,0.09670179768853114,-0.11279622317823595,2.4183544056199935e-11
bk_s_curve,66.23366317998254,0.09670157024565414,-0.11279444601182025,3.119809965923537e-11
bk_s_curve,66.2420159391537,0.09670134259507267,-0.11279266456850236,3.0306868126217523e-11
bk_s_curve,66.25037263239817,0.09670111473651777,-0.11279087883897693,7.1574413063046904e-12
bk_s_curve,66.25873326291456,0.09670088666972089,-0.11278908881391526,2.0007662193677334e-11
bk_s_curve,66.26709783390591,0.09670065839441185,-0.11278729448398268,3.026734418654087e-11
bk_s_curve,66.27546634857848,0.09670042991032207,-0.11278549583981516,8.3279272367065e-11
bk_s_curve,66.28383881014209,0.09670020121718026,-0.11278369287203552,7.503109245021733e-11
bk_s_curve,66.29221522181076,0.0966999723147164,-0.11278188557124677,7.187084261062182e-12
bk_s_curve,66.30059558680162,0.09669974320265816,-0.11278007392803058,2.3567314766381742e-11
bk_s_curve,66.30897990833616,0.09669951388073592,-0.11277825793295532,2.7497448762403565e-12
bk_s_curve,66.31736818963884,0.09669928434867454,-0.11277643757656307,6.747602476764314e-12
bk_s_curve,66.32576043393877,0.09669905460620473,-0.11277461284939169,6.504408123220173e-11
bk_s_curve,66.3341566444683,0.09669882465305277,-0.11277278374194477,4.2571834946159015e-11
bk_s_curve,66.34255682446299,0.0966985944889442,-0.11277095024471463,4.6506187789674414e-11
bk_s_curve,66.35096097716318,0.09669836411360684,-0.11276911234817329,3.0940805473278488e-12
bk_s_curve,66.35936910581194,0.09669813352676276,-0.11276727004277418,4.273265075127597e-11
bk_s_curve,66.3677812136573,0.09669790272814234,-0.11276542331895409,1.0111911308285926e-12
bk_s_curve,66.37619730394981,0.09669767171746599,-0.11276357216712855,2.920569341924306e-11
bk_s_curve,66.38461737994471,0.09669744049446202,-0.112761716577695,6.069478253323268e-12
bk_s_curve,66.39304144490039,0.09669720905885143,-0.11275985654103467,6.79520884006024e-11
bk_s_curve,66.4014695020791,0.09669697741035649,-0.11275799204749842,8.890616021162145e-11
bk_s_curve,66.40990155474735,0.09669674554870392,-0.11275612308743511,1.478001054877609e-11
bk_s_curve,66.41833760617521,0.0966965134736143,-0.11275424965116566,4.579225887368921e-12
bk_s_curve,66.42677765963634,0.09669628118480995,-0.11275237172899218,2.2510882047299674e-11
bk_s_curve,66.43522171840817,0.09669604868201158,-0.1127504893111963,9.335415773747968e-11
bk_s_curve,66.44366978577233,0.09669581596494208,-0.11274860238804583,1.6721179996181945e-11
bk_s_curve,66.452121865014,0.09669558303332142,-0.11274671094978322,5.978356698577159e-11
bk_s_curve,66.46057795942211,0.09669534988686947,-0.11274481498663647,1.6746659614597093e-11
bk_s_curve,66.46903807228948,0.09669511652530494,-0.11274291448881164,8.835754350400293e-11
