T_MeV,sigma_GeV3,mq_GeV,uv_residual,ir_residual
20.0,0.03522521902409318,0.0,0.0,3.2643887593053478e-12
25.0,0.035222182605725114,0.0,-4.656612873077393e-10,-1.1674328170840909e-11
30.0,0.03521664905259138,0.0,0.0,-2.3239188351453777e-12
35.0,0.03520750205198947,0.0,0.0,-5.894951193852194e-12
40.0,0.03519338595182288,0.0,0.0,-3.486433364230379e-12
45.0,0.03517266554803474,0.0,5.820766091346741e-11,-3.4466873799487985e-12
50.0,0.03514334685471294,0.0,0.0,2.5180968421523175e-12
55.0,0.0351028303133273,0.0,-5.820766091346741e-11,-1.1000977906405751e-11
60.0,0.035046904846861605,0.0,0.0,-5.992983886926595e-13
65.0,0.03496742327074835,0.0,5.820766091346741e-11,5.909939204684633e-12
70.0,0.03485091307215796,0.0,1.4551915228366852e-11,-9.532818978641444e-12
75.0,0.034680924823788935,0.0,1.4551915228366852e-11,3.482991672854041e-12
80.0,0.034441524945988546,0.0,-8.731149137020111e-11,6.685763054292693e-13
85.0,0.03411849726025008,0.0,2.9103830456733704e-11,-3.659295089164516e-12
90.0,0.033698576582900285,0.0,1.4551915228366852e-11,-4.3720582709738665e-12
95.0,0.03316817606919067,0.0,-7.275957614183426e-12,-3.3373304120232206e-12
100.0,0.03251220353248902,0.0,-2.9103830456733704e-11,-8.792744310426315e-12
105.0,0.03171291441882132,0.0,1.4551915228366852e-11,1.4773071654872183e-11
110.0,0.030748550094487147,0.0,-1.8189894035458565e-11,5.368150368667557e-12
115.0,0.029591423911040193,0.0,-7.275957614183426e-12,-7.007228131072907e-12
120.0,0.028204925045314858,0.0,-1.0913936421275139e-11,-7.1133099410758405e-12
125.0,0.026538408024030787,0.0,-7.275957614183426e-12,5.72930591857812e-13
130.0,0.024517623915162514,0.0,-1.8189894035458565e-12,2.1604384947693234e-12
135.0,0.02202450282414641,0.0,0.0,-2.8341773372630996e-12
140.0,0.01884623307855444,0.0,1.8189894035458565e-12,2.663308462658165e-11
145.0,0.01450269337476037,0.0,9.094947017729282e-13,2.855549130487134e-12
150.0,0.0070237183878100965,0.0,0.0,-9.877099138577705e-13
155.0,2.570790551546149e-16,0.0,1.569190952028157e-17,2.8947894724761255e-16
160.0,-4.14268601001717e-29,0.0,-8.820483790166127e-27,-1.7795155955226902e-26
165.0,-6.136214456160826e-42,0.0,1.2104894960911212e-38,6.7491985137791815e-40
170.0,1.0275647305868026e-54,0.0,-3.772804614458766e-52,8.973168033278699e-52
174.99999999999997,-1.2339899986670213e-67,0.0,6.378096098286339e-65,-1.0880597967343502e-66
180.0,1.1140762595444096e-80,0.0,3.7339748167648647e-78,2.94834845373424e-77
185.0,2.4468996767504417e-93,0.0,-3.826173489136576e-91,-6.107627941487556e-90
190.0,3.071418977724641e-106,0.0,-8.416738556953776e-104,1.7567127818710882e-103
195.0,4.98232419789134e-119,0.0,-6.673487718101247e-116,-9.884685874203443e-117
200.0,-4.0605030609527557e-131,0.0,-4.427059067826729e-130,4.333292966430663e-129
204.99999999999997,-2.299845475963308e-145,0.0,-3.0732358730691185e-141,-1.5633234452506987e-142
210.0,-3.703828296614653e-157,0.0,4.619811299505359e-155,1.0026392087318701e-154
215.0,-7.85162733965846e-170,0.0,5.412997298028498e-168,1.593886501784489e-168
220.0,-5.568964026243478e-183,0.0,1.2386265218650587e-179,-5.292969856336596e-181
225.0,-6.254360681832235e-195,0.0,-2.67747039002978e-193,2.518231550206371e-192
230.0,5.200423548743297e-208,0.0,1.091591633996207e-205,-3.8473022103986333e-205
234.99999999999997,-2.815549896016484e-221,0.0,-4.4735038583797885e-218,9.237436507964843e-219
240.0,3.901995633345925e-235,0.0,2.968991680295281e-232,-2.4373248359827627e-232
245.0,1.0674211613911312e-247,0.0,3.228843668513594e-246,-1.1697132724349549e-245
250.0,-1.263893406404226e-260,0.0,6.82624320355834e-259,8.07252841448413e-259
255.0,-4.912200883478397e-275,0.0,-2.0964228698308467e-271,3.1127281738179746e-273
260.0,3.5455402468724885e-288,0.0,-8.30136419869867e-285,5.4430809938978865e-286
265.0,-6.086339748121636e-301,0.0,3.6816106240805665e-298,3.2883474451987237e-298
270.0,5.9284035607e-313,0.0,1.8251328052263e-311,5.3223901570363e-311
275.0,-1.71754017715e-313,0.0,-2.281e-320,-9.83e-321
280.0,-3.5693973272e-313,0.0,-9.72e-321,9.136e-320
284.99999999999994,6.4683280947e-314,0.0,-2.48e-321,7.6516e-320
290.0,-1.67966899506e-313,0.0,1.92e-320,1.4086e-320
295.0,4.255252954e-313,0.0,-7.144e-321,-8.8294e-320
300.0,-9.348723725e-314,0.0,2.673e-320,5.316e-321
