index,sigma_target_GeV3,T_MeV,sigma_GeV3,free_energy,residual_norm,retcode
1,0.0850667602887558,139.99999999999335,0.08506676028875573,-0.02030383159658296,1.2064238497089264e-12,Success
2,0.08471231545421933,140.86408665381182,0.08471231545421484,-0.01956279338948605,7.228773135636857e-12,Success
3,0.08435787061968283,141.70570822908715,0.08435787061967936,-0.01885321959749517,3.6230463074105046e-12,Success
4,0.08400342578514636,142.5258595303047,0.0840034257851436,-0.018173203055775543,6.489808690446353e-13,Success
5,0.08364898095060987,143.32546395400303,0.08364898095060795,-0.01752099747393701,9.171774451033343e-12,Success
6,0.08329453611607339,144.10538037572033,0.08329453611607195,-0.01689500021375281,7.628397913350682e-12,Success
7,0.08294009128153691,144.86640920930137,0.08294009128153562,-0.01629373727209117,4.874323167314287e-12,Success
8,0.08258564644700042,145.60929775652147,0.08258564644699944,-0.015715850143488624,4.947819931544473e-12,Success
9,0.08223120161246394,146.3347449456691,0.0822312016124631,-0.0151600842908192,6.756595283263778e-12,Success
10,0.08187675677792745,147.04340554193223,0.08187675677792684,-0.014625278996728316,2.9635183196319304e-12,Success
11,0.08152231194339098,147.73589389958974,0.08152231194339052,-0.014110358404605566,6.353972903383465e-12,Success
12,0.0811678671088545,148.41278731528317,0.08116786710885421,-0.013614323587795204,7.0816685848740235e-12,Success
13,0.08081342227431801,149.074629032823,0.08081342227431783,-0.013136245510378326,2.181421709934739e-12,Success
14,0.08045897743978153,149.72193094265427,0.08045897743978135,-0.012675258763378173,1.2537748617091893e-12,Success
15,0.08010453260524504,150.3551760129355,0.08010453260524485,-0.012230555977325626,6.690203946391193e-13,Success
16,0.07975008777070856,150.97482048404112,0.07975008777070855,-0.011801382826427837,1.680877659282487e-12,Success
17,0.07939564293617209,151.58129585392894,0.079395642936172,-0.011387033551615728,3.382405466823002e-12,Success
18,0.0790411981016356,152.17501067816318,0.07904119810163555,-0.010986846939820704,3.947731030962132e-12,Success
19,0.07868675326709912,152.75635220522685,0.07868675326709906,-0.010600202705450172,3.1115110488144637e-12,Success
20,0.07833230843256263,153.32568786515134,0.07833230843256256,-0.010226518227238812,2.854716463218665e-12,Success
21,0.07797786359802615,153.8833666271593,0.07797786359802611,-0.0098652455998426,1.8722245975766327e-12,Success
22,0.07762341876348967,154.42972024009114,0.07762341876348951,-0.009515868964835819,5.236977518308095e-12,Success
23,0.07726897392895318,154.96506436773706,0.07726897392895311,-0.009177902090241276,1.864064458345638e-12,Success
24,0.0769145290944167,155.48969962969207,0.07691452909441666,-0.008850886171610298,2.610134330893743e-12,Success
25,0.07656008425988023,156.00391255718634,0.07656008425988026,-0.008534387831002946,5.433431482515516e-13,Success
26,0.07620563942534374,156.50797647214713,0.07620563942534375,-0.008227997293075448,1.9200196987867457e-12,Success
27,0.07585119459080726,157.002152296909,0.07585119459080727,-0.007931326719978307,5.8755222909212534e-12,Success
28,0.07549674975627077,157.4866893011217,0.07549674975627073,-0.007644008688900724,1.776023772492863e-12,Success
29,0.0751423049217343,157.96182579167498,0.07514230492173422,-0.00736569479798741,1.851629960469836e-12,Success
30,0.07478786008719782,158.42778975086574,0.07478786008719768,-0.007096054387970819,2.6672553055107073e-12,Success
31,0.07443341525266133,158.88479942743405,0.07443341525266145,-0.0068347733682806115,5.093092614316674e-12,Success
32,0.07407897041812485,159.3330638846563,0.07407897041812492,-0.006581553137644158,4.737543690680468e-12,Success
33,0.07372452558358836,159.77278350926454,0.07372452558358843,-0.006336109590261592,2.1731505484012814e-12,Success
34,0.07337008074905188,160.20415048446628,0.07337008074905188,-0.006098172199628569,1.936006910341348e-12,Success
35,0.0730156359145154,160.62734923018715,0.07301563591451529,-0.005867483172883246,2.0979884496341583e-12,Success
36,0.07266119107997891,161.04255681320845,0.07266119107997897,-0.005643796669323673,3.1287195056961536e-12,Success
37,0.07230674624544244,161.44994332968798,0.07230674624544244,-0.005426878077381901,2.0943247136528953e-12,Success
38,0.07195230141090594,161.8496722622757,0.07195230141090588,-0.0052165033449310585,2.563449452708255e-12,Success
39,0.07159785657636947,162.2419008138714,0.07159785657636943,-0.005012458358304563,2.115807529179392e-12,Success
40,0.07124341174183299,162.6267802198284,0.07124341174183305,-0.00481453836587615,1.6418533199669127e-12,Success
41,0.0708889669072965,163.00445604029176,0.07088896690729656,-0.0046225474424369285,8.30002733209767e-13,Success
42,0.07053452207276002,163.37506843418933,0.07053452207276002,-0.004436297990985289,1.887379141862766e-12,Success
43,0.07018007723822353,163.73875241621226,0.07018007723822352,-0.004255610278863671,4.693412325451618e-12,Success
44,0.06982563240368705,164.09563809811647,0.06982563240368711,-0.004080312005446593,2.4070190285385706e-12,Success
45,0.06947118756915058,164.445850915445,0.06947118756915059,-0.003910237898868177,4.031608380472562e-12,Success
46,0.06911674273461409,164.78951184072025,0.06911674273461414,-0.0037452293394948113,3.2619462686511724e-12,Success
47,0.06876229790007761,165.12673758411282,0.06876229790007768,-0.0035851340080495374,4.355238392150795e-12,Success
48,0.06840785306554112,165.4576407824269,0.06840785306554106,-0.00342980555649774,7.109868249699502e-13,Success
49,0.06805340823100464,165.78233017723807,0.06805340823100457,-0.003279103299958074,2.3094859358252506e-12,Success
50,0.06769896339646816,166.10091078291325,0.06769896339646811,-0.00313289192805288,5.572209360593661e-13,Success
51,0.06734451856193167,166.4134840452128,0.06734451856193176,-0.0029910412342658097,3.362143896623593e-12,Success
52,0.0669900737273952,166.72014799110406,0.0669900737273952,-0.002853425861968899,3.763545031176818e-12,Success
53,0.0666356288928587,167.02099737033012,0.06663562889285875,-0.0027199250659221915,3.373412660323538e-12,Success
54,0.06628118405832223,167.3161237893453,0.06628118405832222,-0.0025904224881285894,3.4527380954330056e-12,Success
55,0.06592673922378575,167.60561583804764,0.06592673922378568,-0.0024648059470245365,2.465472270785085e-12,Success
56,0.06557229438924926,167.88955920977736,0.06557229438924925,-0.0023429672390780113,1.6011636461144008e-12,Success
57,0.06521784955471278,168.16803681502762,0.0652178495547128,-0.002224801951925822,1.2195799925507345e-12,Success
58,0.0648634047201763,168.44112888926907,0.06486340472017622,-0.0021102092882601107,1.3328227410625004e-12,Success
59,0.06450895988563982,168.70891309517776,0.06450895988563975,-0.001999091899740118,1.1065037774926623e-12,Success
60,0.06415451505110334,168.9714646197134,0.06415451505110337,-0.0018913557302459168,1.5853984791647235e-12,Success
61,0.06380007021656685,169.2288562662543,0.06380007021656686,-0.0017869098678659128,5.0623394365345575e-12,Success
62,0.06344562538203037,169.48115854218057,0.06344562538203029,-0.001685666405030155,1.8992585282262553e-12,Success
63,0.06309118054749388,169.728439742071,0.0630911805474939,-0.001587540306274419,4.8793191709251005e-12,Success
64,0.0627367357129574,169.97076602686192,0.06273673571295743,-0.001492449283131859,1.1596834603722073e-12,Success
65,0.06238229087842092,170.2082014991485,0.062382290878420975,-0.0014003136757034442,1.959710171917095e-12,Success
66,0.06202784604388444,170.44080827483674,0.062027846043884366,-0.0013110563404882495,7.642775301519578e-13,Success
67,0.06167340120934796,170.66864655141399,0.061673401209347875,-0.0012246025440761446,1.5654144647214707e-12,Success
68,0.061318956374811474,170.891774672948,0.061318956374811474,-0.001140879862347924,2.2937762800268047e-12,Success
69,0.06096451154027499,171.11024919204758,0.06096451154027511,-0.0010598180848404165,2.2200574711916943e-12,Success
70,0.060610066705738506,171.32412492893747,0.060610066705738534,-0.0009813491239660784,2.2088997297942115e-12,Success
71,0.06025562187120203,171.5334550277914,0.06025562187120198,-0.0009054069287939768,1.4847012508312218e-12,Success
72,0.059901177036665545,171.73829101046854,0.05990117703666563,-0.0008319274031264466,1.2785328351583303e-12,Success
73,0.05954673220212906,171.93868282783237,0.05954673220212906,-0.0007608483276080738,4.101274875267791e-12,Success
74,0.05919228736759258,172.13467890869228,0.05919228736759251,-0.0006921092856433074,1.6617818232589343e-12,Success
75,0.058837842533056094,172.32632620658129,0.05883784253305619,-0.0006256515928960218,2.392919196125831e-12,Success
76,0.05848339769851962,172.51367024442945,0.058483397698519644,-0.0005614182301657707,1.1138867606064196e-12,Success
77,0.05812895286398313,172.69675515723011,0.05812895286398318,-0.0004993537794545812,1.7785772854495008e-12,Success
78,0.05777450802944665,172.875623732855,0.057774508029446614,-0.0004394043630372732,1.446842645691504e-12,Success
79,0.057420063194910165,173.05031745103156,0.05742006319491021,-0.0003815175853749728,3.5300651290981477e-12,Success
80,0.05706561836037368,173.22087652063712,0.05706561836037366,-0.0003256424777119971,3.9823699893304365e-12,Success
81,0.056711173525837204,173.3873399153622,0.05671117352583719,-0.000271729445209026,1.7399970353437766e-12,Success
82,0.05635672869130072,173.54974540781154,0.05635672869130077,-0.0002197302164743256,3.4729996656324147e-12,Success
83,0.056002283856764236,173.7081296021432,0.05600228385676431,-0.00016959779536792114,1.9386714456004484e-12,Success
84,0.05564783902222775,173.86252796529647,0.055647839022227745,-0.00012128641495259764,1.2516654379624015e-12,Success
85,0.055293394187691275,174.0129748568594,0.0552933941876913,-7.475149348339801e-5,1.5507595207964187e-12,Success
86,0.05493894935315479,174.15950355767956,0.054938949353154784,-2.994959232350915e-5,1.411759598113349e-12,Success
87,0.05458450451861831,174.30214629721553,0.05458450451861826,1.3161624307310213e-5,1.4233059175694507e-12,Success
88,0.05423005968408182,174.44093427975898,0.054230059684081816,5.4623427853174875e-5,1.6138201885951275e-12,Success
89,0.05387561484954534,174.57589770949187,0.05387561484954536,9.447606229244298e-5,2.9872770923589087e-12,Success
90,0.05352117001500886,174.70706581449147,0.053521170015008876,0.00013275877944626433,1.8707257964933888e-12,Success
91,0.05316672518047238,174.83446686971604,0.053166725180472336,0.00016950987280370873,1.0040857034709916e-12,Success
92,0.052812280345935894,174.9581282189859,0.05281228034593584,0.0002047667099343064,3.256728220435434e-12,Success
93,0.05245783551139941,175.07807629603394,0.05245783551139939,0.00023856576355993703,1.7248424910576432e-12,Success
94,0.052103390676862926,175.19433664465174,0.052103390676862864,0.0002709426413518541,2.114308728096148e-12,Success
95,0.05174894584232645,175.30693393794422,0.05174894584232641,0.0003019321145135775,1.3848922009174203e-12,Success
96,0.051394501007789965,175.41589199677836,0.05139450100778996,0.00033156814520881103,7.840950111415168e-13,Success
