T_MeV,sigma_scheme_A_mq7_GeV3,sigma_scheme_B_mq7_GeV3,sigma_scheme_C_mq7_GeV3
20.0,0.03509583452007085,0.023000085142259166,0.010092578213169277
21.0,0.035095389422139946,0.02299980320108777,0.010092896352631123
22.0,0.03509487586038546,0.02299947782637265,0.0100932632203632
23.0,0.035094287115480946,0.022999104731082697,0.010093683522972236
24.0,0.03509361614178895,0.022998679412716917,0.010094162173328914
25.0,0.03509285556384856,0.022998197149076305,0.010094704286744081
26.0,0.03509199767201976,0.022997652994053784,0.01009531517804195
27.0,0.03509103441894852,0.022997041772329873,0.01009600035736022
28.0,0.035089957414465835,0.02299635807372867,0.010096765525517106
29.0,0.03508875791850976,0.02299559624586961,0.010097616568070464
30.0,0.035087426836610286,0.022994750387050213,0.01009855955086873
31.0,0.03508595471082164,0.022993814337889464,0.010099600711727998
32.0,0.035084331713403215,0.022992781671242562,0.010100746454028435
33.0,0.03508254763564489,0.02299164568170393,0.010102003337935643
34.0,0.035080591878203796,0.022990399372242527,0.010103378070271335
35.0,0.03507845344047083,0.022989035441677574,0.010104877494748385
36.0,0.03507612090645279,0.022987546268995518,0.010106508580170826
37.0,0.0350735824296986,0.022985923893724718,0.01010827840638827
38.0,0.03507082571799605,0.022984159998728087,0.010110194147460777
39.0,0.035067838014552745,0.022982245885557837,0.010112263056518843
40.0,0.03506460607512734,0.022980172449780203,0.010114492441003953
41.0,0.035061116147972124,0.022977930149160605,0.010116889635475872
42.0,0.035057353942314476,0.022975508969902952,0.010119461962454645
42.99999999999999,0.03505330459987021,0.02297289838001415,0.01012221667721158
44.0,0.03504895265461064,0.022970087276109476,0.010125160880204317
45.0,0.03504428198526802,0.022967063910021707,0.010128301381060262
46.0,0.03503927575821714,0.022963815781255503,0.010131644481607235
47.0,0.03503391634155998,0.02296032949852862,0.010135195632300288
48.0,0.035028185200819593,0.022956590560612194,0.010138958907884878
49.0,0.03502206273709493,0.02295258305606938,0.010142936229711541
50.0,0.03501552807131589,0.022948289226520046,0.010147126244375712
50.99999999999999,0.03500855872783039,0.022943688869249752,0.010151522800906218
52.0,0.03500113022154892,0.02293875853805833,0.010156112955408128
53.0,0.03499321548802214,0.022933470527191815,0.01016087448004578
54.0,0.034984784176980116,0.02292779163324681,0.010165772930717925
55.0,0.034975801788094535,0.02292168173984864,0.010170758369723275
56.0,0.03496622868852125,0.022915092273020143,0.010175761930099404
57.0,0.03495601904419474,0.02290796466404559,0.01018069248642537
58.0,0.034945119762785776,0.022900228911964575,0.010185433709034837
58.99999999999999,0.0349334695266762,0.022891802425398913,0.010189841806549766
60.0,0.03492099802435054,0.022882589248459775,0.010193744221228249
61.0,0.03490762547585762,0.022872479790991197,0.010196939450310078
62.0,0.03489326251198675,0.0228613511113128,0.010199198070090646
63.0,0.034877810463222754,0.022849067749863138,0.010200264929026074
64.0,0.03486116203076324,0.022835483078755214,0.010199862338738685
65.0,0.03484320230360338,0.022820441026529796,0.010197694024422313
66.0,0.034823810054637805,0.022803778096635807,0.010193449533181851
67.0,0.034802859182554005,0.022785325494565866,0.010186808769533741
68.0,0.0347802202469984,0.02276491124205387,0.010177446369571885
69.0,0.03475576195110807,0.022742362150342234,0.010165035650395894
70.0,0.034729352506647444,0.022717505560199233,0.010149251952909938
70.99999999999999,0.03470086082774401,0.022690170795855325,0.010129775251948513
72.0,0.03467015750393524,0.02266019027104265,0.010106291987157286
73.0,0.03463711552974919,0.02262740028487915,0.010078496114190046
74.0,0.03460161082182121,0.02259164148826704,0.010046089451764497
75.0,0.034563522509795865,0.02255275906855686,0.010008781344623952
76.0,0.03452273304093702,0.02251060269982865,0.009966287815972816
77.0,0.034479128134940494,0.022465026282096835,0.009918330224459225
78.0,0.034432596607929626,0.02241588751983188,0.009864633582718631
79.0,0.03438303010093941,0.022363047398312852,0.009804924584966944
80.0,0.03433032274515245,0.022306369555029473,0.00973892941342447
81.0,0.03427437078159258,0.022245719610231588,0.009666371407326388
82.0,0.034215072163946696,0.022180964467427684,0.009586968589823766
83.0,0.03415232613134293,0.022111971571650322,0.009500431125639584
84.0,0.034086032798544164,0.022038608189037332,0.009406458713686375
85.0,0.0340160927583618,0.021960740696198144,0.00930473791135225
85.99999999999999,0.033942406670976366,0.021878233832520053,0.00919493945116795
86.99999999999999,0.03386487489416501,0.021790950027615247,0.009076715515096008
88.0,0.03378339711880707,0.021698748666627323,0.008949697027295284
89.0,0.03369787202750263,0.021601485422634785,0.008813491023684094
90.0,0.03360819694627149,0.021499011548393544,0.008667678137177913
91.0,0.03351426753041097,0.021391173181406754,0.008511810400820951
92.0,0.03341597745489143,0.021277810632838366,0.008345409541755546
93.0,0.0333132181073694,0.021158757672727055,0.008167966193353617
94.0,0.03320587828308936,0.021033840776075636,0.007978940485628963
95.0,0.033093843889832386,0.020902878329097273,0.007777765025049662
96.0,0.03297699764620471,0.020765679828535177,0.007563851512624118
97.0,0.032855218770373264,0.02062204499315034,0.007336603103955583
98.0,0.032728382678272064,0.02047176284091737,0.007095435632384762
99.0,0.032596360651637,0.02031461067306726,0.006839812260346116
100.0,0.03245901951839664,0.02015035301362246,0.006569298356569224
101.0,0.03231622127887086,0.01997874039084287,0.006283645751812006
101.99999999999999,0.032167822759000826,0.019799508065187002,0.005982918312996601
102.99999999999999,0.03201367521544301,0.019612374608408433,0.005667671503865115
104.0,0.03185362391571155,0.019417040330098435,0.005339193894908051
105.0,0.031687507708206886,0.019213185530609064,0.004999800534645295
106.0,0.03151515853819358,0.019000468591398343,0.0046531267920236034
107.0,0.03133640095738824,0.01877852382851371,0.004304303519976447
108.0,0.031151051554604153,0.018546959096940846,0.003959828227820234
109.0,0.030958918392610533,0.018305353113826573,0.0036269638288407664
110.0,0.030759800347643685,0.018053252502959978,0.0033126868000395394
111.0,0.030553486422408432,0.017790168414202726,0.003022517382821552
112.0,0.030339755006893773,0.017515572817539137,0.002759727699800372
113.0,0.030118373035233185,0.017228894322817385,0.0025252246552236435
114.0,0.029889095096486084,0.016929513513364622,0.002318009466951927
115.0,0.029651662447660942,0.01661675780329358,0.0021358790671830875
116.0,0.029405801934004945,0.01628989575874291,0.0019760727794337256
117.0,0.029151224815377384,0.015948130923080155,0.0018357301735791927
117.99999999999999,0.028887625426819337,0.015590595276935463,0.0017121558861069438
118.99999999999999,0.028614679757629522,0.015216342439015975,0.0016029418976502732
120.0,0.028332043838786222,0.014824341149981103,0.0015060023489872603
121.0,0.02803935197383333,0.014413469619267589,0.001419562011169911
122.0,0.027736214770019706,0.01398251205785637,0.0013421242701660231
123.0,0.02742221692719316,0.013530159542257619,0.001272432696403655
124.0,0.02709691479429976,0.01305501883983859,0.0012094334280557078
125.0,0.026759833638289498,0.012555635333985923,0.0011522413967370334
126.0,0.026410464561926215,0.012030540105808535,0.0011001113436717586
127.0,0.02604826107037404,0.011478337979896207,0.0010524135383094381
128.0,0.025672635210931584,0.010897863291259295,0.0010086137482169827
129.0,0.025282953214476003,0.010288445028323726,0.0009682568362769226
130.0,0.02487853062901237,0.009650340798521189,0.0009309533485829612
131.0,0.024458626819403632,0.008985411384016994,0.0008963685559662133
132.0,0.024022438792798483,0.008298083665508438,0.0008642135575168867
133.0,0.0235690942998602,0.007596523892022334,0.000834237903991475
134.0,0.023097644132863977,0.006893621118850822,0.0008062236211914621
135.0,0.022607053588570257,0.006206897166280272,0.0007799802228790311
136.0,0.022096193150466015,0.005556301591464711,0.0007553406382262098
137.0,0.0215638284940311,0.004959890648945105,0.0007321577857235522
138.0,0.02100861010774866,0.004429402644608679,0.0007103017035051989
139.0,0.02042906315281126,0.003968390683105634,0.0006896572130609679
140.0,0.019823578584124122,0.003573549019359591,0.0006701218987636282
140.99999999999997,0.019190407658454645,0.0032376016888945917,0.0006516043790657023
141.99999999999997,0.018527663074714117,0.002951927850168326,0.0006340229442844617
142.99999999999997,0.017833332819714793,0.0027081868069307327,0.0006173042728064438
144.0,0.01710531674151525,0.0024990501647975303,0.0006013824235858089
145.0,0.016341502975997454,0.0023183904665046683,0.0005861979296264622
146.0,0.015539912658291296,0.002161211003484489,0.0005716970398319943
147.0,0.014698959607776667,0.00202348246521358,0.0005578310437519632
148.0,0.013817897734309635,0.0019019660674085281,0.0005445557200672543
149.0,0.012897560382964619,0.0017940545370432016,0.0005318308103402628
150.0,0.011941511728410278,0.001697640246351484,0.0005196196135997708
151.0,0.010957667977208388,0.0016110097923071975,0.000507888582029579
152.0,0.009960164917800883,0.0015327612584994758,0.0004966070279983283
153.0,0.008970595011093933,0.001461739908812407,0.0004857467688073741
154.0,0.008016926102390878,0.0013969880221752556,0.00047528195227233383
155.0,0.007128643776845983,0.0013377060588291305,0.00046518876257820783
156.0,0.006329280763302025,0.0012832221321694914,0.00045544524356457233
157.0,0.005630665984985816,0.001232968170985668,0.00044603114367646927
158.0,0.005032394401134186,0.0011864610036417934,0.0004369277240656706
159.0,0.004525595866549363,0.0011432873772487815,0.00042811762335646215
160.0,0.004097624859111821,0.0011030919201854192,0.00041958476002901355
161.0,0.0037354289421028778,0.0010655675552073548,0.0004113142131477235
162.0,0.0034272528922909265,0.00103044759673808,0.0004032920777236875
163.0,0.003163201523891617,0.0009974994687649722,0.00039550543184362606
164.0,0.002935222498615064,0.0009665194247198222,0.0003879422178480364
165.0,0.00273686389824887,0.0009373282830450778,0.00038059119342589596
166.0,0.002562982928565918,0.0009097678470737316,0.0003734418597807048
167.0,0.002409477032765745,0.0008836979625907386,0.00036648437308992054
168.0,0.0022730600584829567,0.0008589940261406721,0.00035970955020722293
169.0,0.002151084064529255,0.0008355448898922727,0.00035310876547209015
170.0,0.002041400663411427,0.0008132511338307,0.0003466739204755342
171.0,0.001942254017630962,0.0007920235168256698,0.0003403974172126104
171.99999999999997,0.0018521986254054113,0.0007717817719582191,0.0003342721241593942
172.99999999999997,0.0017700357788414758,0.0007524534532288489,0.0003282913129678633
173.99999999999997,0.001694764566476112,0.0007339730717473384,0.00032244864648222016
174.99999999999997,0.001625543568476382,0.0007162812040120135,0.00031673817535523126
176.0,0.0015616609981789552,0.0006993239006992943,0.0003111542580289098
177.0,0.0015025110968287258,0.0006830520060963819,0.00030569159790120025
178.0,0.0014475753885645664,0.0006674206404520196,0.00030034514316347975
179.0,0.0013964077330956488,0.0006523887981496151,0.00029511017523441515
180.0,0.0013486222930741449,0.0006379188664586184,0.0002899821779135792
181.0,0.00130388377082665,0.0006239763459288343,0.0002849569029946638
182.0,0.001261899504632798,0.0006105295129206995,0.0002800303204026796
183.0,0.0012224129434989168,0.0005975491120443472,0.00027519859890033865
184.0,0.001185198261748076,0.0005850081904792949,0.00027045811647441345
185.0,0.0011500560046747807,0.0005728818228578636,0.00026580540380051297
186.0,0.001116809268607645,0.0005611469344839412,0.0002612371915738896
187.0,0.0010853007050408657,0.0005497821375256408,0.00025675037229423963
188.0,0.0010553898553363453,0.0005387675921442653,0.00025234195361104034
189.0,0.001026951009384021,0.0005280848457506261,0.0002480091190623072
190.0,0.0009998712601827968,0.0005177167385444216,0.00024374921488956347
191.0,0.0009740489520318223,0.0005076472539032494,0.00023955961606403128
192.0,0.00094939232421037,0.0004978614506357435,0.00023543790687750624
193.0,0.0009258183449045403,0.000488345411624379,0.00023138175375500368
194.0,0.0009032516850923968,0.0004790860972338601,0.00022738890933944334
195.0,0.0008816238525928625,0.00047007126846417626,0.00022345725594865687
196.0,0.0008608724079804865,0.00046128950080684584,0.0002195847441173634
197.0,0.0008409403945785934,0.0004527300542891624,0.00021576944045670948
198.0,0.0008217756369260486,0.00044438283524046436,0.00021200947079883217
199.0,0.0008033303479095587,0.00043623836880365296,0.0002083030432461426
200.0,0.0007855606236086305,0.00042828774093358577,0.00020464845420431184
201.0,0.0007684260732338929,0.00042052253616964443,0.00020104406428216555
202.0,0.0007518894833767679,0.0004129348465829473,0.00019748831569938106
203.0,0.0007359164750782371,0.00040551718879601874,0.00019397967588329998
203.99999999999997,0.000720475301184294,0.0003982625118878114,0.00019051671367768577
204.99999999999997,0.000705536538348937,0.00039116412914305996,0.00018709804177633802
205.99999999999997,0.0006910729015437007,0.00038421576538490897,0.00018372231646240775
206.99999999999997,0.000677059078094637,0.00037741141783659347,0.00018038826616330133
208.0,0.0006634715296720491,0.000370745450474318,0.00017709466265550873
209.0,0.0006502882989397545,0.0003642124821477652,0.00017384030138778043
210.0,0.0006374889723093955,0.0003578074243571812,0.00017062407569476743
211.0,0.0006250544691512271,0.0003515254692052391,0.00016744485960410753
212.0,0.000612966963495619,0.00034536200162742567,0.00016430161605147293
213.0,0.0006012097752458808,0.0003393126740647707,0.00016119331787172074
214.0,0.0005897672745839392,0.000333373337256254,0.00015811897316514616
215.0,0.0005786248332038884,0.00032754003656602443,0.00015507767643464367
216.0,0.0005677687130850764,0.00032180900305058685,0.00015206847620954995
217.0,0.0005571859960857422,0.0003161766823462839,0.00014909053278885107
218.0,0.0005468645457652994,0.00031063959091583485,0.0001461429679418172
219.0,0.0005367929180933328,0.0003051945481173259,0.00014322497228046925
220.0,0.0005269603639044472,0.0002998383786879084,0.00014033577733141024
221.0,0.0005173567272647574,0.0002945681230828776,0.00013747459202516766
222.0,0.0005079724273726214,0.0002893809515539429,0.00013464069698106544
223.0,0.000498798418588382,0.0002842741369132177,0.0001318333764975647
224.0,0.0004898261466350289,0.00027924508264553095,0.00012905194306593896
