T_MeV,sigma_u_GeV3,sigma_s_GeV3,uv_residual,ir_residual
50.0,0.03134487731394771,0.027916446707840728,1.5552581444921998e-10,1.7963230902751093e-10
52.52525252525252,0.03135608678749038,0.02792560072045862,1.9576096299545043e-10,2.0507684439508012e-10
55.05050505050505,0.03136857900592862,0.027935806987397328,1.0456058241459232e-10,2.2824053758085938e-10
57.57575757575758,0.031382320592170616,0.02794703533332387,8.476308543947653e-11,2.0459367533476325e-10
60.1010101010101,0.03139723066796801,0.027959216036674776,3.0573987785942336e-11,1.1812772982011666e-10
62.62626262626262,0.03141317198073664,0.02797223239549747,9.375011877921224e-11,7.426592674164567e-11
65.15151515151516,0.03142994174198362,0.027985913059869548,3.441780194179955e-11,2.4074964244391595e-10
67.67676767676768,0.031447262309174016,0.028000024228719063,2.4174218182793084e-11,1.3791634501103545e-11
70.2020202020202,0.03146477179061506,0.02801426178035255,7.511524735548392e-11,1.970903440451366e-10
72.72727272727272,0.031482014596157175,0.028028243343436742,1.38320466191999e-11,5.4566129392696894e-11
75.25252525252525,0.03149843187188987,0.028041500271158867,2.442956947845687e-11,1.2307665997468575e-10
77.77777777777777,0.03151335168927505,0.028053469443026186,4.691069754869659e-11,7.365485998889199e-11
80.30303030303031,0.03152597879264346,0.028063484693433498,5.013944814891147e-11,1.192148602058296e-10
82.82828282828284,0.031535383635714405,0.028070767647470705,1.8205659202408242e-11,7.535660984103743e-11
85.35353535353535,0.03154049037576926,0.028074417765775732,6.015099529577128e-11,9.368861242364801e-11
87.87878787878788,0.0315400634350827,0.02807340120406576,1.4947376669738333e-11,4.516209628491197e-11
90.4040404040404,0.03153269214819359,0.02806653820179747,1.6974421868098943e-11,7.279155056494346e-11
92.92929292929293,0.031516772925718355,0.028052488421580268,3.01523250811897e-11,1.4001244608152774e-11
95.45454545454545,0.03149048822023729,0.028029733934474693,7.821299163879303e-12,5.0459192380003515e-11
97.97979797979798,0.0314517813850044,0.027996558745581306,2.350719618959829e-11,1.0368950142947142e-10
100.50505050505049,0.03139832625979128,0.027951024402221518,2.0049961690915552e-11,1.1461764870546176e-10
103.03030303030303,0.031327489910817824,0.02789094016727246,1.012800954214299e-11,1.4225065569917206e-10
105.55555555555556,0.03123628642426913,0.027813826327287787,1.476008204548407e-11,7.02442548572435e-11
108.08080808080808,0.03112131883545351,0.027716868214454345,2.0122570276726037e-11,9.381295740240603e-11
110.60606060606061,0.03097870511487975,0.027596858058308124,1.600430898918148e-11,4.756728344545991e-11
