T_MeV,sigma_u_GeV3,sigma_s_GeV3,uv_residual,ir_residual
100.0,0.031410318768874144,0.027961221245678156,2.0253132504421956e-11,2.532019038881117e-11
103.33333333333333,0.03131768377331928,0.027882637855044398,3.905986645236226e-12,1.3297096757014515e-10
106.66666666666667,0.031188845846296585,0.027773789445069197,1.5977885681195403e-11,7.058886808408715e-11
110.0,0.031015681851554816,0.02762795094039119,6.2521099408741065e-12,5.6346038945775945e-11
113.33333333333333,0.030788468117541098,0.027437103916521887,1.2981282715429643e-11,2.085442929455894e-11
116.66666666666667,0.030495422021768956,0.02719157983078821,9.739431483524186e-12,1.17747589456485e-10
120.0,0.030122028595844143,0.026879539933078487,1.039324182272594e-11,9.723066796141211e-11
123.33333333333333,0.029650012939087103,0.02648618816546252,1.2558176720744996e-11,7.418776704071206e-11
126.66666666666667,0.02905569780740179,0.025992523786969483,5.720979245893432e-12,7.933920187497279e-11
130.0,0.028307222276987242,0.025373249121514386,1.1990630710556616e-11,2.998135073539743e-11
133.33333333333334,0.02735946668128874,0.024592991998849803,1.0272227513041798e-11,2.447109181957785e-11
136.66666666666666,0.026143813981749288,0.02359877723584585,3.3405500587946335e-12,1.5071677239575365e-10
140.0,0.02454430887670328,0.02230274906176267,5.4081183975540625e-12,5.6921578561741626e-11
143.33333333333334,0.022328083893594437,0.020532670057597784,1.7743584379559252e-12,3.4727420938907017e-10
146.66666666666666,0.018831510197328295,0.017814551166835665,6.504186078615248e-12,3.366551482031355e-11
150.0,0.0046814991185790324,0.008897130015008078,3.0127289551984404e-13,1.1222134332911082e-11
153.33333333333331,0.0020749860466754153,0.007874833166438283,1.3637979634495423e-12,7.331024676204834e-12
156.66666666666669,0.0014190253024501164,0.007491521964130965,5.95967719618784e-13,2.476063798440009e-11
160.0,0.0010983893231142955,0.007180781279314565,2.7841617900037363e-13,3.749889287973929e-12
163.33333333333331,0.0009055976926294076,0.006897640747187108,9.416079027602109e-14,7.637446231001377e-12
166.66666666666666,0.0007757987224901808,0.006631765683181746,4.123090757701675e-13,1.6136425529111875e-11
170.0,0.0006818045881767526,0.006379679661937038,8.068545831463325e-14,3.812949955772638e-12
173.33333333333334,0.0006101538545540733,0.0061397909603443145,5.6538107529036097e-14,1.213251721310371e-12
176.66666666666666,0.0005534042385757841,0.005911108029534939,4.190137820048179e-14,5.234479516502688e-12
180.0,0.0005071013392217955,0.005692845835513958,3.0943303475083894e-13,1.828759366162558e-12
183.33333333333331,0.000468413694843863,0.005484297370625506,2.7486346532157313e-13,1.2567724638756772e-13
186.66666666666666,0.00043545418327620096,0.005284794471785159,6.346312364513551e-14,2.913225216616411e-13
190.0,0.00040691593861187625,0.005093699072908124,2.9848346017047334e-13,2.752909011860538e-12
193.33333333333331,0.00038186479115944247,0.004910403710469584,5.814793091474257e-14,5.2016169149737834e-12
196.66666666666666,0.00035961492639399105,0.004734334184142101,4.60437243887668e-13,4.0105696541559155e-12
200.0,0.00033965125532620013,0.004564952224999403,2.4850260738062957e-13,2.9523050670832163e-12
